EC               1 AFGL 4029           REF915 
EC               3 CTG 1,2,3           REF833 
EC               1 OMC 3               REF046 
EC               1 Turner 9            REF271 
OC               1 Kharchenko 1        REF276 
EC               3 Sh2-235A,B,C        REF3357
Ast              1 Upgren 1            REF308 
Assoc,OC,EGr    20 Platais,various     REF203 
OC,lPOCR,Ast     3 Turner 11,Rup 173   REF273 
Ast              1 Mandushev           REF315 
EC               1 M 17                REF020 
EC               3 W3 OH,TMW 1,2       REF023 
EC              23 TPN                 REF100 
EC               1 AB 1                REF933 
EC               1 RCW 38              REF033 
OCC,Ast          5 Chupina             REF1033
EC               1 Serpens SV4         REF042 
KGr              1 HR 1614             REF1075
EC               1 LDN 1495E           REF059 
EC               1 AB 1                REF007 
EC               1 FSH 1               REF017 
OC,EC,Ast        8 various             REF310 
KGr,Ast          3 Chereul 1,2,3       REF274 
DGAL             3 BS I,II,III         REF6001
KGr              1 Helmi Stream        REF1759
KGr              9 Subgroup A,B,C,D    REF1952
KGr              3 Subgroup B1,2,3,4   REF1951
EGr              1 Turner 8,Vela T1,2  REF921 
EC               2 Arches,Quintuplet   REF096 
EC               1 SGR 1806-20         REF105 
EC               1 Sh2-138             REF051 
EC               1 W 43                REF912 
KAs              1 TWA                 REF287 
EC               1 TPN 22              REF078 
EC               2 Shorlin             REF275 
EC               1 Serpens A           REF043 
EC               1 AFGL 5157           REF003 
EC               1 DR 18               REF057 
EC               1 Hodapp 11           REF030 
EC               1 AG 1                REF004 
Assoc            8 various             REF224 
OC               1 eta Chamaleontis    REF263 
Ast              1 M73                 REF292 
EC               1 SGR 1900+14         REF104 
EC,EGr           5 Serp A,C,D,SVS2,4   REF045 
KAs              1 HD 199143 Assoc     REF1715
EC               1 SYC 1,SYC 2         REF031 
Ast              1 M 73                REF293 
EC               2 PCS 1,PCS 2         REF136 
EC              12 MLG (cls. in Vela)  REF074 
EC              14 Carpent 1-3,others  REF032 
EC              19 CHS 1-12,others     REF066 
EC               1 W 42                REF013 
EC              58 DB 1 to DB 58       REF098 
KAs              1 Horologium Assoc    REF288 
KAs              1 TucA                REF304 
KAs              1 Corona Austr Assoc  REF501 
KAs              1 GAYA                REF500 
OC               1 eta Chamaleontis    REF264 
Assoc            1 ScoOB8              REF072 
cPOCR,KAs        3 beta Tuc Gr,TucA    REF980 
EC               1 W 31                REF914 
lPOCR,Ast,OC    32 various             REF289 
Ast,EC           2 Ru140,Pis 21        REF252 
lPOCR            2 NGC 1901,NGC 1252   REF290 
OC,OCC,Ast       5 Ru 146,103,166,129  REF300 
DGAL             1 Mayall II           REF5009
OC               1 Carraro 1           REF956 
EC               1 OMC 3               REF047 
Assoc            1 MBM 12A             REF200 
Ast              1 Mackie 1            REF307 
EC               1 Stephenson 2        REF069 
EC               5 Ser A,C,D,SVS2,4    REF044 
KAs              1 Pisces Assoc        REF259 
EC              10 CT = ECX clusters   REF097 
KGr              1 beta Pic Mov. Gr.   REF6779
EC               1 Lupus III           REF498 
EC,OC,ECC       44 DB 59 to DB 100     REF099 
EC               1 Gal. Nucl. Cluster  REF093 
EC               3 W 49,W 49A,W 49SW   REF106 
EC               3 KBD 1,2,3           REF135 
OC               1 Turner 5            REF268 
EC              10 Ivanov 1-10         REF110 
Ast              1 M73                 REF311 
GC               1 Whiting 1           REF402 
EC,OC            2 Stephenson 2,Pis23  REF071 
lPOCR,Ast        2 NGC 7036,NGC 7772   REF294 
EC               1 WWH 1               REF073 
OC,EC         2167 DAML02 database     REF209 
EC               1 SW 1                REF107 
EC               1 MAO 1               REF3373
KGr              1 Monoceros Ring      REF1762
EC               2 SB 1,STO 1          REF048 
EC               1 TWMM 1              REF995 
EC,OC           15 LK 1 to LK 15       REF109 
EC               2 W 40,Gum 25 Clusts  REF041 
EC,EGr           9 CBJ 1-2,3a,b,4-8    REF102 
EC               1 DB 49               REF127 
DGAL             3 WLM,IC10,Sextans A  REF5003
EC               1 RAL 1               REF116 
EC               2 vdB 92,TPB 3        REF121 
Assoc            1 GemOB4              REF3051
KGr              1 Monoc Ring          REF1783
cPOCR            1 Ruprecht 3          REF291 
EC,OC            7 Magakian clusters   REF328 
OC               1 epsilon Cha         REF324 
EC               1 Nurnberger 1        REF741 
EC,OC            3 Bica 1,2,BBD 3      REF112 
OC               2 NGC 1582,NGC 1663   REF314 
EC,EGr           7 MLG 13,14,17,18     REF075 
OC               1 IC 2395             REF330 
EC,EGr,OC      381 EC+EGr catalog      REF009 
EC               2 DZS 1,DZS 22        REF114 
EC               5 Ivanov 1,11,13-15   REF015 
EC,EGr,ECC     167 BDSB 1 to 167       REF010 
EC,EGr,ECC     179 DBSB 1 to 179       REF113 
OC,Ast,EC       43 various             REF296 
EC,OCC,Ast      60 DB objects          REF126 
EC               1 NGC 7538            REF908 
OC,EC            3 Bica 3,4,Dias 6     REF297 
OC              14 Berk and Biur Cl.   REF1043
EC               1 RA 3                REF974 
EC               1 RA 2                REF973 
DGAL             1 Canis Major: GCs?   REF1223
KGr              1 Tri-And             REF1782
EC               1 Treasure Chest      REF117 
EC,EGr           4 RBB 1,2,Cr 232      REF118 
EC               1 NGC 1807            REF309 
EC               3 TWM 1,2,3 in SFO11  REF3378
Ast              3 NGC5885,2664,Cr 21  REF313 
DGAL             1 Canis Major Dwarf   REF1204
OC               1 NGC 2180            REF303 
EC,OC            5 de Wit 1,2,3,4,5    REF888 
EC               1 IRS 13E             REF932 
EC               5 KKD 1,2,3,4,6       REF129 
EC               1 Collinder 223       REF623 
NGAL             1 NGC 55 GCs          REF3344
EGr              1 IRS 13N             REF935 
EGr              1 IRS 16SW            REF934 
EC               1 AVG 1               REF3369
KGr              1 Hercules Stream     REF2717
Ast,OC          11 ESO objs & others   REF312 
KGr              1 Monocer Ring        REF1763
EC               6 SB 2,3,N6595,DB94   REF122 
OC               8 DC 1 to DC 8        REF322 
NGAL             1 Milky Way           REF1221
EC               1 FBD 1               REF132 
EC               1 TF 1                REF325 
KAs              1 YSSA                REF1719
OC               5 various             REF792 
EC,ECC,OC,GC    92 GLIMPSE(or Mercer)  REF131 
GC               1 Whiting 1           REF404 
MHC              1 Bologna A           REF3097
Ast,OC           3 N5120,N5155,Ru 166  REF299 
EC               1 Briceno             REF321 
OC              43 NGC objs & others   REF985 
OC             109 ASCC                REF306 
EC               3 rho Oph,ECS,ECN     REF742 
GC               1 GLIMPSE-C01         REF401 
DGAL             1 Willman 1           REF403 
EC,ECC           2 SGR 1806-20,LBV     REF3422
EC,OC            3 Ivanov 4,8,13       REF120 
EC               2 STO 4,AFGL 4029     REF901 
EC,ECC,OCC      18 DB,DBSB objects     REF016 
OC               8 Cz37,Ki25,Ly9,AL1   REF883 
DGAL            11 Boo III,SEGUE 1,2   REF1210
DGAL             1 Ursa Major II       REF1202
KGr              1 Car-Near Assoc      REF1718
DGAL             1 And VIII            REF1211
DGAL             1 Canes Venatici I    REF1200
OC               1 NGC 2301            REF2009
OC               1 NGC 2129            REF884 
EC               2 DBSB 172,BDSB 164   REF916 
OC               2 NGC 2425,NGC 2635   REF885 
OC,OCC          76 various             REF327 
OC               6 Be 5,36,44,52       REF881 
OC               1 Wray 1              REF990 
OC               1 Teutsch 51          REF529 
GC             153 GCs in the MW       REF405 
GC               1 AL 3                REF406 
DGAL             1 NGC 205: 6 GCs      REF3350
DGAL             1 CVn II              REF407 
KGr              1 Virgo Stream        REF1761
KGr              1 NGC 5466 Tails      REF1758
KGr              1 Pal 5 Tidal Tail    REF1745
KGr              1 GD-1 Stream         REF1746
KGr              1 AntiCenter Stream   REF1757
KGr              1 Orphan Stream       REF6778
EC               1 Dutra 1             REF514 
EC               1 LDL 1               REF504 
EC              54 KKC 1-54            REF133 
EC               1 YTL 1               REF502 
EC               1 Hodapp 11           REF503 
OC,Ast           7 Ly3,Tr23,AL4,AL 5   REF882 
KGr              3 Group 1,2,3         REF1755
EC               1 DBM 1,ESO392-11     REF511 
OC               1 Mamajek 2           REF971 
EC               1 VOG 1               REF3371
KGr              1 beta Pic Moving Gr  REF696 
EC               1 YF 1                REF999 
OC,EC            4 Ly 2,12,Ki 20,BH63  REF795 
EC               1 RA 4                REF976 
Stream           1 AF 06 Stream        REF1751
EC               1 RA 1                REF975 
KAs              1 Cha-Near Assoc      REF1717
GC             153 GCs in the MW       REF3374
OC               1 Auner 1             REF886 
EC               1 SPO 1               REF3380
OC               5 Cr74,Haf8,BH4,Be27  REF887 
lPOCR,EC,Ast    18 Bica 5,Ly8,ESO cls  REF124 
GC               1 FSR 1735            REF509 
DGAL             1 SEGUE 1             REF513 
EC               1 BHB 1               REF506 
DGAL             1 Mayall II           REF5008
KGr              2 Tri-And, Tri-And 2  REF3786
OC               1 GLIMPSE 30          REF490 
EC               1 AB 1                REF505 
OC,OCC        1021 FSR objects         REF507 
EC               1 Roman-Lopes 3       REF979 
OC               6 various             REF797 
EC               1 BW 1                REF510 
EC               1 DBSB 36             REF978 
OC,EC            3 FSR 31,89,1744      REF523 
EC,GCC           1 FSR 584             REF524 
GC               1 FSR 1767            REF525 
EC               1 YLT 1               REF527 
OC              42 various             REF733 
GC               2 Koposov 1,2         REF516 
EC               2 Stephen 2,Dutra 1   REF998 
DGAL             1 Coma                REF946 
Assoc            1 Cha II              REF743 
OC,EC            2 Be 44,BDSB 61       REF332 
DGAL             1 Bootes II           REF942 
EGr              1 Briceno 1           REF3060
OC,GCC           2 FSR 190,FSR 88      REF988 
EC               1 FSR 223             REF3377
OC              36 various             REF1037
EC               1 Serpens south       REF997 
EC               2 BDSB 95,SPO 1       REF958 
OC,EC           15 Koposov clusters    REF528 
OC,OCC          20 FSR clusters        REF970 
EC               1 Ivanov 14           REF1021
OC               1 Bica 6              REF331 
EC               8 KST 1,2,others      REF931 
EGr              1 CB 1                REF937 
EC              10 CAH 1-10            REF938 
EC,EGr           7 various             REF939 
MHC             19 Magel. Halo Clusts  REF3094
MHC              1 BS 196              REF3095
Ast              1 ESO 442-4           REF747 
OC,GC            2 Cz 23,FSR 1716      REF793 
OC,EC,OCC       28 FSR cls & others    REF941 
KGr              5 various Streams     REF1753
OC               1 ESO92-5             REF344 
EC,OC            4 BBD 7,8,9,Bochum 1  REF957 
Ast              1 Collinder 399       REF1048
DGAL             1 Bootes II           REF945 
EC               3 QZM 1,2,3           REF948 
Ast,DGAL         3 SDSS overdensities  REF785 
EC               3 YKT 1,2,3           REF954 
EC               1 ZLM 1               REF964 
EC               1 Escorial 25         REF965 
OC,EC            2 Ru 101,FSR 1755     REF969 
EC               1 BDSB 152            REF1056
OC,OCC,EC       25 various             REF625 
OC               6 various             REF736 
DGAL             1 Leo I               REF1216
OC,EC            8 various             REF738 
KGr             17 AFF Kin Grs,others  REF1723
EC               1 NGC 5367            REF3057
OC               1 NGC 2112            REF601 
GC               1 GLIMPSE C02         REF986 
EC               1 VGO 1               REF3056
EC               1 DBSB 179            REF917 
DGAL             1 Leo V               REF787 
OC               1 FSR 1415            REF779 
GC               1 GLIMPSE C02         REF987 
OC               1 Ruprecht 1          REF737 
OC              14 FSR clusters        REF989 
GCC,Ast          5 SDSS overdensities  REF784 
OC,EC           24 Berkeley clusters   REF626 
Ast              2 Harring 9,Poskus 1  REF1990
OC,Ast           1 TPK 1               REF781 
EC               3 REFL 8,9,10         REF992 
