REF232  Moffat, A.F.J., Fitzgerald, M.P., 1977, A&A, 54, 263                                                                                                                                                                                                                                                                                                                 |1977A&A....54..263M
REF215  Muzzio, J.C., 1979, AJ, 84, 639                                                                                                                                                                                                                                                                                                                                      |1979AJ.....84..639M
REF236  Fitzgerald, M. P., Boudreault, R., Fich, M., Luiken, M., Witt, A. N., 1979, A&AS, 37, 351                                                                                                                                                                                                                                                                            |1979A&AS...37..351F
REF277  Pismis, P., Moreno, M.A., Hasse, I., 1979, RMxAA, 4, 331                                                                                                                                                                                                                                                                                                             |1979RMxAA...4..331P
REF280  Loden, L. O., 1979, A&AS, 36, 83                                                                                                                                                                                                                                                                                                                                     |1979A&AS...36...83L
REF279  Loden, L. O., 1979, A&AS, 38, 355                                                                                                                                                                                                                                                                                                                                    |1979A&AS...38..355L
REF952  Echevarria, J., Roth, M., Warman, J. 1979, RMxAA, 4, 287                                                                                                                                                                                                                                                                                                             |1979RMxAA...4..287E
REF128  McBreen, B., Fazio, G.G., Stier, M., Wright, E.L., 1979, ApJ, 232, L183                                                                                                                                                                                                                                                                                              |1979ApJ...232L.183M
REF227  Turner, D.G., 1979, A&A, 76, 350                                                                                                                                                                                                                                                                                                                                     |1979A&A....76..350T
REF235  Moffat, A. F. J., Jackson, P. D., Fitzgerald, M. P., 1979, A&AS, 38, 197                                                                                                                                                                                                                                                                                             |1979A&AS...38..197M
REF248  Madore, B. F., Arp, H. C., 1979, ApJL, 227, 103                                                                                                                                                                                                                                                                                                                      |1979ApJ...227L.103M
REF256  Turner, D.G., 1980, ApJ, 240, 137                                                                                                                                                                                                                                                                                                                                    |1980ApJ...240..137T
REF320  Terzan, A., Ju, K. H., 1980, Messenger, 20, 6                                                                                                                                                                                                                                                                                                                        |1980Msngr..20....6T
REF281  Loden, L. O., 1980, A&AS, 41, 173                                                                                                                                                                                                                                                                                                                                    |1980A&AS...41..173L
REF237  Fitzgerald, M. P., Moffat, A. F. J., 1980, MNRAS, 193, 761                                                                                                                                                                                                                                                                                                           |1980MNRAS.193..761F
REF265  Johansson, K.L.V., 1980, A&AS, 41, 43                                                                                                                                                                                                                                                                                                                                |1980A&AS...41...43J
REF283  Johansson, K. L. V., 1981, A&AS, 43, 421                                                                                                                                                                                                                                                                                                                             |1981A&AS...43..421J
REF035  Ho, P.T.P., Haschick, A.D., 1981, ApJ, 248, 622                                                                                                                                                                                                                                                                                                                      |1981ApJ...248..622H
REF201  Johansson, K.L.V., 1981, A&AS, 44, 127                                                                                                                                                                                                                                                                                                                               |1981A&AS...44..127J
