# cluster: NGC6341 (M92) 
# radius["] log_surface_density err_log_surface_density
           1      0.3779      0.1832
        2.75      0.2854      0.1428
        4.25      0.2607      0.1012
           6      0.2749     0.09001
           8      0.2204     0.09869
          10      0.1656     0.07916
          12      0.1355     0.06429
        14.5     0.06315     0.09211
          18    -0.04122      0.1233
        27.5     -0.3529     0.05249
          35     -0.4816     0.05013
          45     -0.6421     0.05956
          55     -0.8593     0.07321
          65     -0.9719     0.06809
          75      -1.114     0.09897
          85      -1.221      0.1068
       127.5      -1.608     0.09672
       152.5      -1.804      0.0708
       182.5      -2.013     0.08952
         230      -2.302      0.1171
         310      -2.699      0.0884
         525      -3.385     0.06497
         920      -3.784     0.08065
        1300      -3.797     0.05552
        1925      -3.789        0.06
