# cluster: NGC6809 (M55) 
# radius["] log_surface_density err_log_surface_density
           3     -0.7524      0.2085
           9     -0.7747       0.189
        18.5     -0.7728     0.07462
        32.5     -0.8619     0.05459
          50     -0.9078     0.04253
          70      -1.023     0.04233
          90      -1.091     0.03863
       112.5      -1.208      0.0351
       142.5      -1.309     0.02876
         180      -1.462     0.02926
         225      -1.656     0.03548
         300       -1.96     0.06567
         450      -2.408     0.05549
         630      -2.857     0.05875
         805      -3.022     0.03969
        1000       -3.05     0.06504
        1225      -3.123     0.08352
