# cluster: NGC288 
# radius["] log_surface_density err_log_surface_density
           3     -0.8774      0.1559
           9     -0.8678      0.1642
          16     -0.8968         0.1
          25     -0.9631     0.09273
          35     -0.9566     0.06526
          45      -1.017     0.06601
        57.5      -1.059     0.06307
        72.5      -1.077      0.0525
        87.5      -1.191     0.04318
         104      -1.289     0.06003
       121.5      -1.407     0.06328
         145      -1.533     0.04537
         170      -1.626     0.05976
         200      -1.813     0.05625
         250      -2.074     0.04193
         340      -2.514     0.05044
         470      -3.101     0.07638
         630       -3.56      0.1142
         835      -3.919      0.1367
        1075      -4.051      0.1171
        1300      -4.099      0.1267
