# cluster: NGC104 (47TUC) 
# radius["] log_surface_density err_log_surface_density
         0.5      0.8831      0.1755
         1.4      0.8686      0.1372
        2.25      0.8749     0.06983
        4.25      0.8513      0.0601
        6.25      0.8187     0.05184
           8      0.8106     0.04535
        10.5      0.7765     0.03408
          13      0.7435     0.04404
          16      0.6814     0.02343
        19.5      0.6412     0.02811
          23      0.5981     0.02517
        27.5      0.5155     0.02274
          34      0.4324     0.02258
          44      0.2797     0.02518
          61      0.1002      0.0203
          91     -0.1694     0.01769
         125     -0.4602     0.02403
       157.5     -0.6344     0.02192
       212.5      -0.913     0.03749
         325      -1.301     0.04603
         500      -1.725     0.05025
         750      -2.146      0.0613
