# cluster: NGC5824 
# radius["] log_surface_density err_log_surface_density
        0.75      0.8496      0.1334
        2.25      0.6648      0.1023
         4.5      0.4831     0.06135
         7.5      0.2132     0.08544
        10.5    -0.02003      0.0758
        13.5     -0.2354      0.1198
        17.5     -0.5047     0.09304
        23.5     -0.7755      0.1151
          33      -1.122     0.09106
        46.5      -1.439     0.08951
        64.5      -1.736      0.1022
          85      -2.001      0.1308
         115      -2.268     0.09182
         165      -2.649      0.1165
         260      -3.099     0.08252
         400      -3.292     0.07486
         590      -3.474     0.06688
         790      -3.463     0.08819
         945      -3.473     0.09303
