# cluster: NGC6626 (M28) 
# radius["] log_surface_density err_log_surface_density
           1       0.321      0.1709
         2.5       0.272       0.148
           4       0.256       0.113
         6.5       0.138      0.1014
           9       0.005     0.09393
          11       -0.03     0.07891
          14      -0.189     0.06927
          18      -0.265     0.07043
          22      -0.352     0.07866
        27.5      -0.531     0.05458
          35      -0.676      0.0535
          47      -0.859     0.07637
          65      -1.071     0.06592
        97.5      -1.283     0.04184
         160      -1.571     0.02798
         250      -1.744     0.02425
         375      -1.809      0.0197
         525      -1.824     0.01973
         675      -1.839     0.02149
         825      -1.854     0.02119
