# cluster: NGC1851 
# radius["] log_surface_density err_log_surface_density
        0.75      0.6947       0.103
           2      0.6412      0.1502
           3      0.5998      0.1244
         4.1      0.5055      0.1136
        5.35      0.3636     0.08167
           7      0.2081     0.05889
           9      0.0808     0.06483
        12.5     -0.1157     0.06457
        17.5     -0.2827     0.05936
          25     -0.5551     0.05023
          35     -0.7704     0.04515
        47.5      -1.056     0.04795
          65      -1.386     0.04659
          85      -1.627      0.0509
