# cluster: NGC7089 (M2) 
# radius["] log_surface_density err_log_surface_density
           1      0.5136      0.1416
           3      0.3632     0.09966
           5      0.3779     0.09986
           7      0.3479     0.07581
           9      0.2604     0.08327
          11      0.2503     0.06646
          13      0.1813     0.06626
          15      0.1528     0.08203
          17      0.1252     0.05421
          19    0.004054     0.08347
        22.5     -0.1074     0.04061
        27.5     -0.1969     0.05687
        32.5     -0.3215     0.05794
        37.5     -0.4228     0.07016
        42.5     -0.5002     0.06718
        47.5     -0.6728     0.09346
          55     -0.7648     0.05432
          65     -0.9182     0.05893
          75      -1.062      0.0519
          85      -1.191     0.07997
          95      -1.283     0.08614
       112.5      -1.473     0.06353
       137.5      -1.655     0.07305
       162.5      -1.906     0.06564
       187.5       -2.08     0.09622
         225      -2.393     0.08803
         275      -2.736      0.1227
         325      -3.005      0.1692
         375       -3.29      0.2081
         425      -3.413      0.2357
         475       -3.47      0.2188
         550      -3.544      0.1786
         650      -3.606      0.1748
         800      -3.752     0.09929
        1100      -3.717     0.06816
        1550      -3.691      0.0531
