# cluster: NGC2419 
# radius["] log_surface_density err_log_surface_density
         1.4       0.543     0.09535
           4      0.5144     0.08198
         6.4      0.5017     0.06203
         9.5      0.4193     0.05276
          13      0.3614     0.04771
        16.1      0.2906     0.06021
        19.1       0.236     0.06634
       22.35      0.1241     0.05032
       26.15     0.04226     0.05755
        30.5    -0.03797     0.04115
       35.59     -0.1506     0.05598
        41.9     -0.3058     0.07719
       49.85     -0.4659     0.04164
       57.15     -0.5832     0.07239
          65     -0.7666     0.05092
       76.45     -0.9216     0.04058
        90.1      -1.127     0.05711
       106.4       -1.31      0.0717
       128.2      -1.527     0.04869
       159.6      -1.797      0.0506
       346.4       -2.72     0.07593
       531.6      -3.003     0.05852
       777.3      -3.014     0.07348
