# cluster: NGC6266 (M62) 
# radius["] log_surface_density err_log_surface_density
         0.5       1.008      0.1181
         1.5        0.98      0.1154
         2.6      0.9977     0.08198
        3.85      0.9752     0.06979
        5.25      0.9309     0.05302
           7      0.9045     0.04778
         9.5      0.8425      0.0351
        12.5       0.737     0.03201
        15.5      0.6486     0.03354
       18.75      0.5675     0.02921
       22.25      0.4584     0.03563
          26      0.3837     0.02582
          31      0.2866     0.02608
        39.5      0.1294     0.02547
        52.5    -0.09183     0.02856
        67.5     -0.2919     0.04306
        82.5      -0.405     0.06486
         100      -0.581      0.0782
         125      -0.764     0.07981
       157.5       -0.95     0.08029
       192.5      -1.078     0.07462
         230      -1.181     0.09004
         280       -1.27     0.06405
         380      -1.381     0.06735
         550      -1.477     0.08192
         775       -1.51     0.03708
        1025      -1.504     0.02727
        1300       -1.45      0.0197
