# cluster: NGC5904 (M5) 
# radius["] log_surface_density err_log_surface_density
        0.75      0.6131      0.1569
        2.15      0.5189      0.1542
        3.25      0.5682      0.1312
         4.1      0.5998      0.1145
        5.25      0.5797     0.08528
           7      0.5044     0.08961
         9.5      0.4713     0.06961
        12.5      0.4059     0.06981
          17      0.3444     0.05673
        23.5      0.2456     0.04277
          31      0.1107     0.04297
          40     -0.0057     0.03248
          50     -0.1072     0.02809
          61     -0.2377     0.03663
        73.5       -0.38     0.02382
          85     -0.5163     0.03566
         156      -1.104     0.03656
         188      -1.274     0.04554
         220      -1.448     0.07019
         278      -1.707     0.05544
         362      -2.025     0.05838
       439.5      -2.225     0.07445
       510.5      -2.435     0.08113
         575      -2.611     0.06623
         633       -2.72     0.07454
         691      -2.864     0.07146
         846      -3.118     0.08504
        1098      -3.244     0.07188
        1278      -3.364      0.1124
        1386      -3.363      0.1335
