# cluster: NGC5024 (M53) 
# radius["] log_surface_density err_log_surface_density
           2      0.4355     0.09822
           6      0.4407     0.04997
          10      0.3794     0.03634
          14         0.3     0.05774
        20.2      0.1801      0.0443
        28.6     0.02773     0.03557
          37    -0.09091     0.02832
        45.4     -0.2254     0.03201
        53.8     -0.3529     0.04917
        62.2     -0.4812     0.03806
        70.6     -0.6156     0.03575
          79     -0.7258     0.04329
        87.4     -0.7895     0.03562
        95.8     -0.9178     0.05499
         130      -1.206     0.02753
         190      -1.613     0.02201
         250      -1.936     0.03999
         310      -2.164     0.04343
         370      -2.366     0.04862
         450      -2.627     0.04858
         550      -2.858     0.07597
         650      -3.185       0.074
         750      -3.351     0.09263
         850      -3.537     0.09764
        1050      -3.745     0.05443
        1350      -3.797     0.07323
        1650      -3.825     0.05115
