# cluster: NGC6205 (M13) 
# radius["] log_surface_density err_log_surface_density
           2      0.5214     0.07917
        4.75      0.5612     0.09033
        6.75      0.5248     0.06145
         9.5      0.5442     0.04824
        12.5      0.5109     0.06056
        16.5      0.4981     0.03073
          22      0.4649     0.02743
          30      0.3939     0.01606
        42.5      0.2777     0.01252
        57.5      0.1599     0.01753
        72.5      0.0152     0.01834
          90     -0.1176     0.02459
         125      -0.358      0.1063
         210      -0.826       0.074
         335      -1.504     0.05537
         550       -2.04     0.05772
         765       -2.44       0.111
        1115       -2.52     0.05874
        1550      -2.493      0.1012
