# cluster: NGC1904 (M79) 
# radius["] log_surface_density err_log_surface_density
           1      0.7137      0.1302
           3      0.6541       0.108
           5      0.5178     0.07406
           7      0.4903     0.07666
           9      0.4237     0.05303
          11       0.245     0.06277
        15.2     0.07652     0.06553
        21.6     -0.2024     0.04737
          28     -0.3397     0.07374
        34.4     -0.4633     0.06077
        40.8     -0.5816      0.0543
        47.2     -0.7651      0.0652
        53.6     -0.8284     0.06403
          60     -0.9593     0.06904
        66.4      -1.052     0.07299
        72.8      -1.138     0.06554
        80.5      -1.217     0.07347
       90.83      -1.387      0.1121
       102.5      -1.529     0.08899
       114.2      -1.651     0.09029
         140      -1.908     0.07452
         180      -2.224     0.06454
         220      -2.597      0.1105
         260      -2.815      0.1137
         300      -3.058        0.12
         340      -3.207      0.1422
         380       -3.29      0.1485
       432.5      -3.344      0.1484
       497.5      -3.572      0.1598
       637.5      -3.617     0.08351
       912.5      -3.542      0.1427
