am1      am1     
arp2     arp2    
hp       Cl Haute-Provence 1
ic1276   ic1276  
ic4499   ic4499  
ngc104   ngc104  
ngc1261  ngc1261 
ngc1851  ngc1851 
ngc1904  ngc1904 
ngc2298  ngc2298 
ngc2419  ngc2419 
ngc2808  ngc2808 
ngc288   ngc288  
ngc3201  ngc3201 
ngc362   ngc362  
ngc4147  ngc4147 
ngc4372  ngc4372 
ngc4590  ngc4590 
ngc5024  ngc5024 
ngc5053  ngc5053 
ngc5139  ngc5139 
ngc5272  ngc5272 
ngc5286  ngc5286 
ngc5466  ngc5466 
ngc5634  ngc5634 
ngc5694  ngc5694 
ngc5824  ngc5824 
ngc5897  ngc5897 
ngc5904  ngc5904 
ngc5927  ngc5927 
ngc5946  ngc5946 
ngc5986  ngc5986 
ngc6093  ngc6093 
ngc6101  ngc6101 
ngc6121  ngc6121 
ngc6139  ngc6139 
ngc6144  ngc6144 
ngc6171  ngc6171 
ngc6205  ngc6205 
ngc6218  ngc6218 
ngc6229  ngc6229 
ngc6235  ngc6235 
ngc6254  ngc6254 
ngc6256  ngc6256 
ngc6266  ngc6266 
ngc6273  ngc6273 
ngc6284  ngc6284 
ngc6287  ngc6287 
ngc6293  ngc6293 
ngc6304  ngc6304 
ngc6316  ngc6316 
ngc6325  ngc6325 
ngc6333  ngc6333 
ngc6341  ngc6341 
ngc6342  ngc6342 
ngc6352  ngc6352 
ngc6355  ngc6355 
ngc6356  ngc6356 
ngc6362  ngc6362 
ngc6366  ngc6366 
ngc6380  ngc6380 
ngc6388  ngc6388 
ngc6397  ngc6397 
ngc6401  ngc6401 
ngc6402  ngc6402 
ngc6426  ngc6426 
ngc6440  ngc6440 
ngc6441  ngc6441 
ngc6453  ngc6453 
ngc6496  ngc6496 
ngc6517  ngc6517 
ngc6522  ngc6522 
ngc6528  ngc6528 
ngc6535  ngc6535 
ngc6539  ngc6539 
ngc6541  ngc6541 
ngc6544  ngc6544 
ngc6553  ngc6553 
ngc6558  ngc6558 
ngc6569  ngc6569 
ngc6584  ngc6584 
ngc6624  ngc6624 
ngc6626  ngc6626 
ngc6637  ngc6637 
ngc6638  ngc6638 
ngc6642  ngc6642 
ngc6652  ngc6652 
ngc6656  ngc6656 
ngc6681  ngc6681 
ngc6712  ngc6712 
ngc6715  ngc6715 
ngc6717  ngc6717 
ngc6723  ngc6723 
ngc6752  ngc6752 
ngc6760  ngc6760 
ngc6779  ngc6779 
ngc6809  ngc6809 
ngc6864  ngc6864 
ngc6934  ngc6934 
ngc6981  ngc6981 
ngc7006  ngc7006 
ngc7078  ngc7078 
ngc7089  ngc7089 
ngc7099  ngc7099 
ngc7492  ngc7492 
pal_1    pal 1   
pal_10   pal 10  
pal_11   pal 11  
pal_12   pal 12  
pal_13   pal 13  
pal_14   pal 14  
pal_2    pal 2   
pal_3    pal 3   
pal_4    pal 4   
pal_5    pal 5   
pal_6    pal 6   
pal_8    pal 8   
terzan1  terzan1 
terzan11 terzan11
terzan2  terzan2 
terzan5  terzan5 
terzan6  terzan6 
terzan7  terzan7 
terzan9  terzan9 
ton2     ton2    
